state,year,month,TMAX,TMIN,PRCP,SNOW,SNWD
CT,2015,4,10.0,-5.0,0,0,25
CT,2015,4,11.1,0.0,0,0,0
CT,2015,9,30.0,21.7,23,0,0
CT,2015,11,14.4,-0.6000000000000001,0,0,0
CT,2015,11,17.8,1.7000000000000002,0,0,0
CT,2015,12,2.8,-3.3,0,0,0
CT,2016,1,8.3,0.6000000000000001,0,0,0
CT,2016,2,15.6,0.0,0,0,0
CT,2016,11,11.1,-2.2,0,0,0
CT,2016,11,2.8,-2.8,10,0,25
CT,2016,12,16.7,6.7,241,0,0
CT,2016,12,11.7,7.8,196,0,0
DE,2015,3,-1.7000000000000002,-12.2,0,0,127
FL,2015,1,22.8,15.0,5,0,0
FL,2015,2,23.3,6.7,0,0,0
FL,2015,3,27.2,8.9,0,0,0
FL,2015,3,27.2,11.1,5,0,0
FL,2015,4,26.7,19.4,0,0,0
FL,2015,4,27.2,13.9,0,0,0
FL,2015,5,28.9,15.0,0,0,0
FL,2015,5,31.7,18.3,0,0,0
FL,2015,7,33.3,25.6,0,0,0
FL,2015,7,34.4,23.9,3,0,0
FL,2015,8,32.2,29.4,0,0,0
FL,2015,8,27.2,23.9,1758,0,0
FL,2015,8,30.6,21.7,175,0,0
FL,2015,8,33.3,26.1,0,0,0
FL,2015,9,32.8,23.9,0,0,0
FL,2015,9,26.7,22.2,81,0,0
FL,2015,11,26.7,23.9,0,0,0
FL,2015,11,30.6,24.4,10,0,0
FL,2015,11,26.7,21.7,3,0,0
FL,2015,11,31.1,23.9,0,0,0
FL,2015,12,25.6,17.8,8,0,0
FL,2015,12,28.9,23.9,0,0,0
FL,2016,1,28.9,23.3,3,0,0
FL,2016,1,11.7,7.8,30,0,0
FL,2016,2,27.8,17.8,20,0,0
FL,2016,3,28.3,13.3,0,0,0
FL,2016,3,22.2,12.8,0,0,0
FL,2016,3,26.7,13.9,0,0,0
FL,2016,4,32.8,22.2,0,0,0
FL,2016,5,27.8,23.3,0,0,0
FL,2016,5,31.1,12.8,0,0,0
FL,2016,6,31.7,22.8,43,0,0
FL,2016,7,31.1,22.2,0,0,0
FL,2016,7,35.0,23.9,0,0,0
FL,2016,8,33.3,23.3,0,0,0
